玩	wán 	toy/sth used for amusement/curio or antique (Taiwan pr. wan4)/to play/to have fun/to trifle with/to keep sth for entertainment
希望	xīwàng 	to wish for/to desire/to hope
话	huà 	dialect/language/spoken words/speech/talk/words/conversation/what sb said
之	zhī 	(possessive particle, literary equivalent of 的)/him/her/it
钱	qián 	coin/money/surname Qian
还是	háishi 	or/still/nevertheless
可能	kěnéng 	might (happen)/possible/probable/possibility/probability
叫	jiào 	to call/to yell/to order/to ask/to be called
几	jǐ 	almost/small table; how much/how many/several/a few
请	qǐng 	to ask/to invite/please (do sth)/to treat (to a meal etc)/to request
试	shì 	to test/to try/experiment/examination/test
时	shí 	o'clock/time/when/hour/season/period/surname Shi
一样	yīyàng 	same/like/equal to/the same as/just like
与	yǔ 	(same as 欤, final particle expression doubt or surprise, similar to 吗 or 呢); and/to give/together with; take part in
当	dāng 	to be/to act as/manage/withstand/when/during/ought/should/match equally/equal/same/obstruct/just at (a time or place)/on the spot/right/just at; at or in the very same.../to pawn/suitable/adequate/fitting/proper/replace/represent
打	dǎ 	dozen; to beat/to strike/to hit/to break/to type/to mix up/to build/to fight/to fetch/to make/to tie up/to issue/to shoot/to calculate/since/from
看到	kàndào 	see (that)/note
生活	shēnghuó 	life/activity/to live
该	gāi 	that/the above-mentioned/most likely/to deserve/should/ought to/owe
发现	fāxiàn 	to find/to discover
地	de 	-ly/structural particle: used before a verb or adjective, linking it to preceding modifying adverbial adjunct; earth/ground/field/place/land
第一	dìyī 	first/number one
所以	suǒyǐ 	therefore/as a result/so
起	qǐ 	to rise/to raise/to get up/to set out/to start/to appear/to launch/to initiate (action)/to draft/to establish/to get (from a depot or counter)/verb suffix, to start/(before place or time) starting from/classifier for occurrences or unpredictable events: case, instance/classifier for groups: batch, group
问题	wèntí 	question/problem/issue/topic
拿	ná 	to hold/to seize/to catch/to apprehend/to take
孩子	háizi 	child
帮	bāng 	to help/to assist/to support/for sb (i.e. as a help)/hired (as worker)/side (of pail, boat etc)/outer layer/group/gang/clique/party/secret society
买	mǎi 	buy
应该	yīnggāi 	ought to/should/must
见	jiàn 	to see/to meet/to appear (to be sth)/to interview; appear
感觉	gǎnjué 	to feel/to become aware of/feeling/sense/perception
前	qián 	before/in front/ago/former/previous/earlier/front
刚	gāng 	hard/firm/strong/just/barely/exactly
带	dài 	band/belt/girdle/ribbon/tire/area/zone/region/to wear/to carry/to lead/to bring/to look after/to raise
回	huí 	to circle/to go back/to turn around/to answer/to return/to revolve/Hui religious minority (Chinese Muslims)/time/classifier for acts of a play/section or chapter (of a classic book)
干	gàn 	dry/clean/surname Gan; to concern/to interfere/shield/stem; to work/to do/to manage; tree trunk/main part of sth/to manage/to work/to do/capable/cadre (in communist party)/to kill (slang)/to fuck (taboo word)
回家	huíjiā 	to return home
工作	gōngzuò 	job/work/construction/task
看看	kànkan 	to take a look at/to examine/to survey/(coll.) pretty soon
一直	yīzhí 	straight (in a straight line)/continuously/always/from the beginning of ... up to .../all along/always
然后	ránhòu 	after/then (afterwards)/after that/afterwards
这些	zhèxiē 	these
心	xīn 	heart/mind
行	xíng 	a row/series/age order (of brothers)/profession/professional/relating to company; to walk/to go/to travel/a visit/temporary/makeshift/current/in circulation/to do/to perform/capable/competent/effective/all right/OK!/will do; behavior/conduct
开	kāi 	to open/to start/to turn on/to write out (a medical prescription)/to operate (vehicle)/abbr. for 开尔文 degrees Kelvin
信	xìn 	letter/CL:封[feng1]/true/to believe/sign/evidence
真的	zhēn de 	#
事情	shìqing 	affair/matter/thing/business
错	cuò 	mistake/error/blunder/fault/cross/uneven/wrong
问	wèn 	to ask
却	què 	but/yet/however/while/to go back/to decline/to retreat/nevertheless
哪	nǎ 	how/which; (particle equivalent to 啊 after noun ending in -n); which? (interrogative, followed by classifier or numeral-classifier)
世界	shìjiè 	world
开心	kāixīn 	to feel happy/to rejoice/to have a great time/to make fun of sb
出来	chūlái 	to come out/to emerge
那些	nàxiē 	those
喝	hē 	to drink/(interj.) My goodness!; shout applause
月	yuè 	moon/month
住	zhù 	to live/to dwell/to stay/to reside/to stop
所有	suǒyǒu 	all/to have/to possess/to own
分	fēn 	to divide/to separate/to allocate/to distinguish (good and bad)/part or subdivision/fraction/one tenth (of certain units)/unit of length equivalent to 0.33 cm/minute/a point (in sports or games); part
妈妈	māma 	mama/mommy/mother
一定	yīdìng 	surely/certainly/necessarily/fixed/a certain (extent etc)/given/particular/must
明天	míngtiān 	tomorrow
不过	bùguò 	only/merely/no more than/but/however/anyway (to get back to a previous topic)
回来	huílai 	return/come back
放	fàng 	to release/to free/to let go/to put/to place/to let out/to set off (fireworks)
一切	yīqiè 	everything
您	nín 	you (polite, as opposed to informal 你[ni3])
女	nǚ 	female/woman/daughter
老	lǎo 	prefix used before the surname of a person or a numeral indicating the order of birth of the children in a family or to indicate affection or familiarity/old (of people)/venerable (person)/experienced/of long standing/always/all the time/of the past/very/outdated/(of meat etc) tough
已	yǐ 	already/to stop/then/afterwards
车	chē 	car/vehicle/CL:?|辆[liang4]/machine/to shape with a lathe/surname Che; vehicle on land
非常	fēicháng 	unusual/extraordinary/extreme/very/exceptional
件	jiàn 	item/component/classifier for events, things, clothes etc
女人	nǚrén 	woman
最后	zuìhòu 	final/last/finally/ultimate
写	xiě 	to write
相信	xiāngxìn 	be convinced (that something is true)/believe/to accept sth as true
妈	mā 	ma/mamma
准备	zhǔnbèi 	preparation/prepare
电话	diànhuà 	telephone/phone call
别人	biéren 	other people/others/other person
地方	dìfāng 	region/regional (away from the central administration); area/place/space/room/territory/part/respect
手	shǒu 	hand/(formal) to hold/person engaged in certain types of work/person skilled in certain types of work/personal(ly)/convenient
游戏	yóuxì 	game/play
全	quán 	all/whole/entire/every/complete/surname Quan
也许	yěxǔ 	perhaps/maybe
呀	ya 	(particle equivalent to 啊 after a vowel, expressing surprise or doubt)
正	zhèng 	Chinese 1st month of year; just (right)/main/upright/straight/correct/positive/greater than zero/principle
并	bìng 	amalgamate/combine; and/also/together with; and/furthermore/(not) at all/simultaneously/also/together with/to combine/to join/to merge
很多	hěnduō 	very many/very much/great (quantity)
一点	yīdiǎn 	a bit/a little/one dot/one point
第	dì 	(prefix indicating ordinal number, e.g. first, number two etc)
不错	bùcuò 	correct/right/not bad/pretty good
送	sòng 	to deliver/to carry/to give (as a present)/to present (with)/to see off/to send
男人	nánrén 	a man/a male/men
无	wú 	-less/not to have/no/none/not/to lack/un-
先	xiān 	early/prior/former/in advance/first
张	zhāng 	surname Zhang; to open up/to spread/sheet of paper/classifier for flat objects, sheet/classifier for votes
爸爸	bàba 	(informal) father
找到	zhǎodào 	find (what one was searching for)/succeeded in finding
名	míng 	name/noun (part of speech)/place (e.g. among winners)/famous/classifier for people
美	měi 	America/beautiful
五	wǔ 	five/5
明白	míngbai 	clear/obvious/unequivocal/to understand/to realize
为了	wèile 	in order to/for the purpose of/so as to
今晚	jīnwǎn 	tonight
敢	gǎn 	dare
所	suǒ 	actually/place/classifier for houses, small buildings, institutions etc/that which/particle introducing a relative clause or passive
早	zǎo 	early/morning
重要	zhòngyào 	important/significant/major
难	nán 	difficult (to...)/problem/difficulty/difficult/not good; disaster/distress/to scold
继续	jìxù 	to continue/to proceed with/to go on with
小时	xiǎoshí 	hour
晚上	wǎnshang 	in the evening
发生	fāshēng 	to happen/to occur/to take place/to break out
搞	gǎo 	to do/to make/to go in for/to set up/to get hold of/to take care of
些	xiē 	some/few/several/(a measure word)
岁	suì 	year/years old/classifier for years old
位	wèi 	position/location/classifier for people/place/seat/classifier for binary bits (e.g. 十六位 16-bit or 2 bytes)
求	qiú 	to seek/to look for/to request/to demand/to beseech
向	xiàng 	direction/orientation/to face/to turn toward/to/towards/shortly before/formerly/to side with/to be partial to/all along (previously)/surname Xiang
以	yǐ 	to use/according to/so as to/in order to/by/with/because/abbr. for Israel
笑	xiào 	laugh/smile
只是	zhǐshì 	merely/simply/only/but
必须	bìxū 	to have to/must
离开	líkāi 	to depart/to leave
坐	zuò 	to sit/to take a seat/to take (a bus, airplane etc)
成	chéng 	finish/complete/accomplish/become/turn into/win/succeed/one tenth/surname Cheng
其实	qíshí 	actually/that is not the case/in fact/really
路	lù 	road/path/way/surname Lu
条	tiáo 	strip/item/article/clause (of law or treaty)/classifier for long thin things (ribbon, river, road, trousers etc)
发	fā 	to send out/to show (one's feeling)/to issue/to develop/(classifier for gunshots, rounds); hair/Taiwan pr. fa3
完	wán 	to finish/to be over/whole/complete/entire
过去	guòqù 	(in the) past/former/previous/to go over/to pass by
一些	yīxiē 	some/a few/a little
总	zǒng 	always/to assemble/gather/total/overall/head/chief/general/in every case
长	cháng 	length/long/forever/always/constantly; chief/head/elder/to grow/to develop
以为	yǐwéi 	to believe/to think/to consider erroneously/to assume (wrongly)
嘛	ma 	(a modal particle)
而且	érqiě 	not only ... but also/as well as/moreover/in addition/furthermore
好好	hǎohǎo 	good/nicely/properly
永远	yǒngyuǎn 	forever/eternal
穿	chuān 	to bore through/pierce/perforate/penetrate/pass through/to dress/to wear/to put on/to thread
得到	dédào 	to get/to obtain/to receive
头	tóu 	head/hair style/the top/end/beginning or end/a stub/remnant/chief/boss/side/aspect/first/leading/classifier for pigs or livestock; suff. for nouns
花	huā 	flower/blossom/to spend (money, time)/fancy pattern/surname Hua
刚刚	gānggang 	just recently/just a moment ago
场	chǎng 	threshing floor/classifier for events and happenings/classifier for number of some languages and actions (cannot be followed by a noun); a place/an open space/a field/a courtyard/classifier for events such as sports matches, concerts, or cultural events/classifier for number of exams
四	sì 	four/4
记得	jìde 	to remember
算	suàn 	regard as/to figure/to calculate/to compute
不管	bùguǎn 	no matter (what, how)/regardless of/no matter
机会	jīhuì 	opportunity/chance/occasion
可是	kěshì 	but/however
只有	zhǐyǒu 	only
活	huó 	to live/alive/living/work/workmanship
高	gāo 	high/tall/fig. above average/height/(honorific) your; surname Gao
本	běn 	roots or stems of plants/origin/source/this/the current/root/foundation/basis/(classifier for books, periodicals, files etc)
以后	yǐhòu 	after/later/afterwards/following/later on/in the future
多少	duōshǎo 	number/amount/somewhat; how much/how many/which (number)/as much as
分钟	fēnzhōng 	minute
照片	zhàopiàn 	photo/photograph/picture
万	mò 	surname Wan/ten thousand/a great number
过来	guòlái 	to come over/to manage/to handle/to be able to take care of/also pr. guo4lai5
亲爱	qīnài 	Dear or beloved (way of starting a letter)
成为	chéngwéi 	to become/to turn into
帮助	bāngzhù 	assistance/aid/to help/to assist
号	hào 	roar/cry; day of a month/(suffix used after) name of a ship/(ordinal) number
名字	míngzi 	name (of a person or thing)
电影	diànyǐng 	movie/film
只要	zhǐyào 	if only/so long as
任何	rènhé 	any/whatever/whichever/whatsoever
出去	chūqù 	to go out
够	gòu 	to reach/to be enough
漂亮	piàoliang 	pretty/beautiful
变	biàn 	to change/to become different/to transform/to vary/rebellion
句	jù 	sentence/clause/phrase/classifier for phrases or lines of verse
到底	dàodǐ 	finally/in the end/when all is said and done
参加	cānjiā 	to participate/to take part/to join
成功	chénggōng 	success/to succeed
如何	rúhé 	how/what way/what
以前	yǐqián 	before/formerly/previous/ago
女孩	nǚhái 	girl/lass
宝贝	bǎobèi 	treasured object/treasure/darling/baby/cowry/good-for-nothing or queer character
有些	yǒuxiē 	some/somewhat
公司	gōngsī 	(business) company/company/firm/corporation/incorporated
哪里	nǎlǐ 	where?/somewhere/anywhere/wherever/nowhere (negative answer to question)/humble expression denying compliment; where?/somewhere/anywhere/wherever/nowhere (negative answer to question)/humble expression denying compliment/also written 哪里
总是	zǒngshì 	always
水	shuǐ 	water/river/surname Shui
狗	gǒu 	dog
下来	xiàlai 	to come down/(after verb of motion, indicates motion down and towards us, also fig.)/(indicates continuation from the past towards us)/to be harvested (of crops)/to be over (of a period of time)/to go among the masses (said of leaders)
懂	dǒng 	to understand/to know
换	huàn 	change/exchange
有点	yǒudiǎn 	a little
感谢	gǎnxiè 	(express) thanks/gratitude/grateful/thankful/thanks
此	cǐ 	this/these
之后	zhīhòu 	afterwards/following/later/after
结果	jiéguǒ 	to bear fruit; outcome/result/conclusion/in the end/as a result/to kill/to dispatch
份	fèn 	part/share/portion/classifier for gifts, newspaper, magazine, papers, reports, contracts etc/copy
连	lián 	surname Lian/even/as/join/to link/successively
晚	wǎn 	evening/night/late
故事	gùshì 	old practice; narrative/story/tale
完成	wánchéng 	complete/accomplish/perfect tense (grammar)
二	èr 	two/2
少	shǎo 	few/little/lack; young
努力	nǔlì 	great effort/to strive/to try hard
选择	xuǎnzé 	to select/to pick/choice/option/alternative
生	shēng 	to be born/to give birth/life/to grow
挺	tǐng 	straight and stiff/rather (good)/quite/very/classifier for guns or machinery
好像	hǎoxiàng 	as if/to seem like
房子	fángzi 	house/building (single- or two-story)/apartment/room
早上	zǎoshang 	early morning
或	huò 	maybe/perhaps/might/possibly/or
虽然	suīrán 	although/even though/even if
同	tòng 	like/same/similar/together/alike/with
站	zhàn 	station/to stand/to halt/to stop
决定	juédìng 	to decide (to do something)/to determine/to resolve
无法	wúfǎ 	unable/incapable
于	yú 	in/at/to/from/by/than/out of; surname Yu
哇	wā 	sound of child's crying
猜	cāi 	to guess
受	shòu 	to receive/to accept/to suffer/subjected to/to bear/to stand/pleasant/(passive marker)
任务	rènwu 	mission/assignment/task/duty/role
酒	jiǔ 	wine/liquor/spirits/alcoholic beverage
久	jiǔ 	(long) time/(long) duration of time
如	rú 	as/as if/such as
块	kuài 	lump (of earth)/chunk/piece/classifier for pieces of cloth, cake, soap etc/colloquial word for yuan (or other unit of currency such as Hong Kong or US dollar etc), usually as XJ?|块钱
身体	shēntǐ 	(human) body/health
欢迎	huānyíng 	to welcome/welcome
衣服	yīfu 	clothes
如此	rúcǐ 	in this way/so
结束	jiéshù 	termination/to finish/to end/to conclude/to close
另	lìng 	other/another/separate/separately
拍	pāi 	to pat/to clap/to slap/fly-swatter/racket 拍子/to take (picture)/to shoot
怎样	zěnyàng 	how/why
正在	zhèngzài 	in the process of (doing something or happening)/while (doing)
忙	máng 	busy
消息	xiāoxi 	news/information/CL:h潀条[tiao2]
男	nán 	male/Baron, lowest of five orders of nobility 五等爵位[wu3 deng3 jue2 wei4]
最近	zuìjìn 	recent/recently/these days/latest/soon/nearest (of locations)/shortest (of routes)
赢	yíng 	to beat/to win/to profit
歌	gē 	song
伤	shāng 	injure/injury/wound
醒	xǐng 	to wake up/to awaken/to be awake
第二	dìèr 	second/number two/next
半	bàn 	half/semi-/incomplete/(after a number) and a half
首	shǒu 	head/chief/first (occasion, thing etc)/classifier for poems, songs etc
容易	róngyì 	easy/likely/liable (to)
部分	bùfen 	part/share/section/piece
特别	tèbié 	especially/special/particular/unusual
杯	bēi 	cup/classifier for drinks: glass, cup
可爱	kěài 	amiable/cute/lovely
段	duàn 	surname Duan/paragraph/section/segment/stage (of a process)/classifier for stories
音乐	yīnyuè 	music
从来	cónglái 	always/at all times/never (if used in negative sentence)
真正	zhēnzhèng 	genuine/real/true/genuinely
改变	gǎibiàn 	to change/to alter/to transform
下去	xiàqù 	to go down/to descend/to go on/to continue
忘	wàng 	to forget/to overlook/to neglect
内	nèi 	inside/inner/internal/within/interior
生命	shēngmìng 	life/living/biological
讨厌	tǎoyàn 	disgusting/troublesome/nuisance/nasty/to hate doing sth
倒	dào 	to fall/to collapse/to topple/to fail/to go bankrupt/to change (trains or buses)/to move around/to sell/to speculate (buying and selling, also d|捣)/profiteer; upset/turn over/to tip/to pour/to go home/to the contrary/inverted
讲	jiǎng 	to speak/to explain/a speech/a lecture
出现	chūxiàn 	to appear/to arise/to emerge
由	yóu 	to follow/from/it is for...to/reason/cause/because of/due to/to/to leave it (to sb)/by (introduces passive verb)
靠	kào 	depend upon/lean on/near/by/against/to support
昨晚	zuówǎn 	yesterday evening/last night
结婚	jiéhūn 	to marry/to get married
节目	jiémù 	program/item (on a program)
简单	jiǎndān 	simple/not complicated
曾经	céngjīng 	once/already/former/previously/ever/(past tense marker used before verb or clause)
放弃	fàngqì 	to renounce/to abandon/to give up
部	bù 	ministry/department/section/part/division/troops/board/(classifier for works of literature, films, machines etc)
片	piàn 	disc/sheet; thin piece/flake/a slice/film/TV play/to slice/to carve thin/partial/incomplete/one-sided/classifier for slices, tablets, tract of land, area of water/classifier for CDs, movies, DVDs etc/used with numeral 一[yi1]: classifier for scenario, scene, feeling, atmosphere, sound, etc
办	bàn 	to do/to manage/to handle/to go about/to run/to set up/to deal with
想到	xiǎngdào 	to think of/to call to mind/to anticipate
通过	tōngguò 	by means of/through/via/to pass through/to get through/to adopt/to pass (a bill)/to switch over
唱	chàng 	sing/to call loudly/to chant
床	chuáng 	bed/couch/classifier for beds
哈	hā 	laughter/yawn/abbr. for Kazakhstan; a Pekinese/a pug
眼睛	yǎnjing 	eye
黑	hēi 	black/dark/abbr. for Heilongjiang 黑煃江|黑龙江 province in northeast China
使	shǐ 	to make/to cause/to enable/to use/to employ/messenger
脸	liǎn 	face
打开	dǎkāi 	to open/to show (a ticket)/to turn on/to switch on
加	jiā 	to add/plus/abbr. for Canada 加拿大
回到	huídào	return to
